crimeDate,CRIME_NUM,location_description,day,month,year,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2020-12-29,93,STREET,2,12,2020,24.2,15.7,1032.4,9.6,5.1,15.9,22.9,34.0,18.0,0.0,1.2,1
2020-12-30,78,STREET,3,12,2020,31.8,26.6,1013.7,6.6,13.2,18.1,28.9,35.1,18.0,0.7,1.2,1
2020-12-31,120,STREET,4,12,2020,25.6,17.2,1023.1,9.9,5.1,12,22.0,35.1,23.0,0.01,1.2,0
2021-01-01,146,STREET,5,01,2021,26.7,22.3,1022.0,5.6,7.6,18.1,25.1,35.1,18.0,0.0,1.2,1
2021-01-02,100,STREET,6,01,2021,32.0,28.5,1016.2,3.8,7.5,15,999.9,35.1,19.2,0.38,2.0,1
2021-01-03,127,STREET,7,01,2021,31.9,28.4,1015.4,5.1,5.5,8,999.9,35.1,29.1,0.02,2.0,1
2021-01-04,125,STREET,1,01,2021,26.9,23.3,1016.2,5.8,6.7,9.9,999.9,33.1,24.1,0.01,2.0,1
2021-01-05,145,STREET,2,01,2021,30.9,27.2,1018.3,6.2,6.3,11.1,999.9,37.0,24.1,0.0,2.0,1
2021-01-06,113,STREET,3,01,2021,33.0,27.5,1026.4,5.4,2.7,8,999.9,39.0,28.9,0.0,2.0,0
2021-01-07,141,STREET,4,01,2021,35.3,28.3,1028.3,8.5,7.1,12,999.9,39.0,31.1,0.0,1.2,0
2021-01-08,144,STREET,5,01,2021,33.8,26.7,1025.6,9.2,9.6,15,999.9,37.9,30.9,0.0,1.2,1
2021-01-09,136,STREET,6,01,2021,31.4,22.9,1025.5,10.0,8.2,13,19.0,37.0,28.9,0.02,1.2,0
2021-01-10,141,STREET,7,01,2021,28.9,21.7,1027.1,10.0,4.2,7,999.9,37.0,28.0,0.0,1.2,0
2021-01-11,115,STREET,1,01,2021,25.2,19.8,1025.5,8.7,9.9,15.9,25.1,28.9,21.9,0.0,1.2,0
2021-01-12,136,STREET,2,01,2021,30.7,24.8,1019.0,9.7,11.2,15,22.9,37.0,21.9,0.0,1.2,0
2021-01-13,124,STREET,3,01,2021,34.5,28.2,1012.2,9.5,7.9,12,17.1,41.0,27.0,0.0,1.2,0
2021-01-14,126,STREET,4,01,2021,36.3,30.5,1002.8,9.6,6.4,12,20.0,41.0,31.1,0.0,1.2,1
2021-01-15,125,STREET,5,01,2021,35.4,30.7,997.8,9.4,7.5,13,22.0,39.9,32.0,0.14,999.9,1
2021-01-16,122,STREET,6,01,2021,33.0,28.9,1002.6,7.3,6.2,11.1,999.9,39.0,30.0,0.06,1.2,1
2021-01-17,123,STREET,7,01,2021,31.9,28.0,1006.0,6.0,5.9,8.9,999.9,36.0,28.4,0.03,1.2,1
2021-01-18,123,STREET,1,01,2021,28.4,22.9,1010.8,9.1,7.7,13,19.0,32.0,26.6,0.04,1.2,1
2021-01-19,109,STREET,2,01,2021,24.3,16.9,1019.9,9.3,7.7,12,21.0,30.0,19.9,0.0,1.2,1
2021-01-20,118,STREET,3,01,2021,22.7,14.7,1020.7,8.3,10.2,19,28.9,32.0,12.9,0.05,1.2,1
2021-01-21,105,STREET,4,01,2021,34.0,23.4,1007.2,10.0,13.8,22.9,32.1,39.0,30.0,0.0,1.2,0
2021-01-22,106,STREET,5,01,2021,22.8,9.7,1016.2,10.0,10.8,17.1,22.9,39.0,14.0,0.0,1.2,0
2021-01-23,124,STREET,6,01,2021,17.1,3.3,1027.9,10.0,4.3,8.9,999.9,30.0,10.0,0.0,999.9,0
2021-01-24,143,STREET,7,01,2021,29.7,19.8,1021.1,8.6,6.2,11.1,999.9,34.0,27.0,0.01,999.9,1
2021-01-25,119,STREET,1,01,2021,30.9,23.3,1017.9,9.8,9.4,18.1,26.0,34.0,28.0,0.01,999.9,1
2021-01-26,80,STREET,2,01,2021,31.0,26.9,1010.4,2.5,15.7,21,31.1,34.0,28.0,0.11,5.9,1
2021-01-27,103,STREET,3,01,2021,24.3,16.7,1025.6,10.0,11.1,19,21.0,32.0,19.9,0.07,5.1,0
2021-01-28,92,STREET,4,01,2021,16.8,4.8,1036.1,10.0,6.6,11.1,999.9,27.0,8.1,0.0,5.1,0
2021-01-29,88,STREET,5,01,2021,22.0,9.1,1032.0,10.0,3.8,9.9,999.9,32.0,8.1,0.0,5.1,0
2021-01-30,113,STREET,6,01,2021,30.5,19.8,1021.7,9.2,11.1,21,32.1,34.0,17.1,0.0,5.1,1
2021-01-31,65,STREET,7,01,2021,30.7,27.6,1012.4,1.0,15.3,21,29.9,34.0,28.9,0.32,15.0,1
2021-02-01,112,STREET,1,02,2021,29.5,23.4,1021.2,9.2,11.5,17.1,28.9,33.1,25.0,0.04,13.0,1
2021-02-02,107,STREET,2,02,2021,26.0,17.6,1024.4,10.0,8.6,12,999.9,33.1,21.0,0.0,11.8,0
2021-02-03,128,STREET,3,02,2021,25.5,16.8,1021.2,10.0,3.9,9.9,999.9,36.0,17.1,0.0,11.0,0
2021-02-04,97,STREET,4,02,2021,32.2,24.1,1008.5,8.0,10.2,21,28.9,39.0,17.1,0.0,11.0,1
2021-02-05,109,STREET,5,02,2021,17.1,9.6,1003.9,7.5,16.9,26,42.9,39.0,10.0,0.17,11.0,1
2021-02-06,101,STREET,6,02,2021,8.7,0.0,1015.6,8.9,9.5,17.1,28.9,19.0,3.0,0.0,11.0,1
2021-02-07,90,STREET,7,02,2021,1.3,-9.1,1023.9,8.8,8.6,11.1,18.1,12.0,-7.1,0.07,11.0,1
2021-02-08,94,STREET,1,02,2021,5.4,-4.7,1027.5,7.8,2.5,8.9,999.9,15.1,-6.0,0.0,14.2,1
2021-02-09,106,STREET,2,02,2021,8.2,-3.5,1028.6,8.3,7.7,14,999.9,18.0,0.0,0.08,13.0,1
2021-02-10,99,STREET,3,02,2021,9.7,-1.8,1030.2,8.7,5.9,11.1,999.9,18.0,0.0,0.0,13.0,1
2021-02-11,94,STREET,4,02,2021,11.7,0.9,1031.0,8.5,10.6,15.9,999.9,21.2,1.9,0.03,13.0,1
2021-02-12,122,STREET,5,02,2021,13.8,6.2,1029.4,8.7,8.3,14,999.9,17.6,10.0,0.01,11.8,1
2021-02-13,107,STREET,6,02,2021,7.8,0.3,1028.7,3.9,8.2,13,999.9,17.1,5.0,0.03,15.0,1
2021-02-14,86,STREET,7,02,2021,0.1,-12.2,1031.8,9.8,9.4,13,999.9,12.0,-5.1,0.06,15.0,1
2021-02-15,70,STREET,1,02,2021,3.5,-4.1,1029.7,2.8,13.3,20,28.9,12.0,-5.1,0.03,16.9,1
2021-02-16,71,STREET,2,02,2021,11.6,4.5,1019.3,5.1,11.3,18.1,27.0,19.9,0.0,0.19,20.1,1
2021-02-17,117,STREET,3,02,2021,15.5,4.9,1027.5,10.0,3.9,8,999.9,27.0,6.1,0.01,18.1,0
2021-02-18,119,STREET,4,02,2021,20.6,12.3,1028.4,6.0,5.1,8,999.9,27.0,8.1,0.01,18.1,1
2021-02-19,129,STREET,5,02,2021,16.2,7.9,1026.6,9.5,7,12,18.1,21.0,8.1,0.03,16.9,1
2021-02-20,145,STREET,6,02,2021,16.8,8.0,1027.9,7.8,4.7,8,999.9,28.9,6.1,0.0,16.1,1
2021-02-21,145,STREET,7,02,2021,25.6,16.1,1024.3,9.1,8,14,24.1,37.0,17.1,0.0,16.1,1
2021-02-22,127,STREET,1,02,2021,32.7,27.6,1008.0,6.0,13.1,17.1,27.0,37.9,17.2,0.26,14.2,1
2021-02-23,134,STREET,2,02,2021,40.4,30.3,1006.6,9.9,10.5,15.9,25.1,46.9,28.9,0.0,11.0,0
2021-02-24,139,STREET,3,02,2021,42.0,32.1,1009.1,10.0,10.3,15.9,22.9,46.9,37.9,0.0,7.1,0
2021-02-25,110,STREET,4,02,2021,33.9,23.9,1025.6,10.0,6.4,14,21.0,45.0,27.0,0.0,5.9,0
2021-02-26,117,STREET,5,02,2021,33.6,21.3,1023.7,10.0,6.4,12,999.9,43.0,24.1,0.0,5.1,0
2021-02-27,161,STREET,6,02,2021,40.3,31.2,1014.2,7.9,6.5,9.9,999.9,52.0,24.3,0.02,3.9,1
2021-02-28,141,STREET,7,02,2021,42.8,38.2,1011.9,6.2,8.1,19,31.1,52.0,33.1,0.0,1.2,1
2021-03-01,119,STREET,1,03,2021,32.5,21.7,1020.0,10.0,9.8,15.9,24.1,48.9,26.1,0.01,3.1,0
2021-03-02,132,STREET,2,03,2021,29.6,14.5,1026.2,10.0,6.9,18.1,28.0,43.0,21.9,0.0,999.9,0
2021-03-03,127,STREET,3,03,2021,44.3,30.1,1014.6,10.0,8.6,14,22.0,59.0,22.1,0.0,999.9,0
2021-03-04,122,STREET,4,03,2021,35.7,27.0,1024.9,9.8,11,17.1,24.1,59.0,30.9,0.0,999.9,0
2021-03-05,122,STREET,5,03,2021,34.1,20.2,1028.3,10.0,6.3,12,20.0,48.9,24.1,0.0,999.9,0
2021-03-06,133,STREET,6,03,2021,36.5,22.9,1027.5,10.0,3,11.1,999.9,48.9,25.2,0.0,999.9,0
2021-03-07,127,STREET,7,03,2021,36.5,22.2,1028.6,10.0,4.5,12,15.0,52.0,26.1,0.0,999.9,0
2021-03-08,146,STREET,1,03,2021,50.8,32.3,1025.3,10.0,10.9,18.1,27.0,62.1,44.1,0.0,999.9,0
2021-03-09,139,STREET,2,03,2021,52.6,36.1,1024.0,10.0,5.9,18.1,31.1,69.1,39.9,0.0,999.9,0
2021-03-10,147,STREET,3,03,2021,61.0,42.5,1014.7,10.0,14.7,20,35.0,69.1,57.0,0.0,999.9,1
2021-03-11,120,STREET,4,03,2021,55.3,43.5,1013.6,10.0,16.1,26,47.0,69.1,45.0,0.16,999.9,1
2021-03-12,142,STREET,5,03,2021,45.2,29.1,1027.4,10.0,7.4,11.1,999.9,64.0,37.0,0.0,999.9,0
2021-03-13,138,STREET,6,03,2021,43.2,24.7,1031.0,10.0,4.8,8.9,999.9,59.0,30.9,0.0,999.9,0
2021-03-14,148,STREET,7,03,2021,45.4,26.4,1027.5,10.0,11.8,22.9,31.1,59.0,31.1,0.0,999.9,0
2021-03-15,107,STREET,1,03,2021,35.0,22.6,1025.9,7.9,16,22.9,31.1,48.0,28.9,0.0,2.0,1
2021-03-16,114,STREET,2,03,2021,34.8,30.1,1016.3,5.5,6.4,17.1,26.0,39.9,28.9,0.23,1.2,1
2021-03-17,103,STREET,3,03,2021,35.7,30.3,1016.8,7.5,8,20,25.1,39.0,33.1,0.0,1.2,1
2021-03-18,101,STREET,4,03,2021,38.6,33.2,1014.5,7.9,23.8,31.1,42.9,43.0,34.0,0.4,999.9,1
2021-03-19,118,STREET,5,03,2021,39.0,21.4,1030.6,10.0,14,22.9,31.1,45.0,35.1,0.03,999.9,0
2021-03-20,112,STREET,6,03,2021,40.9,23.1,1033.3,10.0,4.5,11.1,999.9,57.9,28.0,0.0,999.9,0
2021-03-21,160,STREET,7,03,2021,49.8,26.8,1026.8,10.0,7.8,15,22.9,64.9,28.2,0.0,999.9,0
2021-03-22,130,STREET,1,03,2021,56.5,29.0,1018.8,10.0,9.5,14,26.0,68.0,37.0,0.0,999.9,0
2021-03-23,130,STREET,2,03,2021,56.8,41.0,1013.0,9.6,7,15,22.9,68.0,46.0,0.0,999.9,1
2021-03-24,111,STREET,3,03,2021,55.2,48.5,1004.2,9.5,13.4,21,35.9,64.0,50.0,0.24,999.9,1
2021-03-25,121,STREET,4,03,2021,47.0,40.0,1011.3,9.8,8.4,15.9,27.0,57.9,42.1,0.01,999.9,1
2021-03-26,125,STREET,5,03,2021,39.3,33.9,1012.8,9.6,9.6,22,28.0,50.0,35.1,0.18,999.9,1
2021-03-27,133,STREET,6,03,2021,47.2,39.6,1015.2,8.8,6.5,15.9,24.1,66.0,35.1,0.0,999.9,0
2021-03-28,140,STREET,7,03,2021,47.6,34.0,1011.2,9.9,15,24.1,34.0,66.0,36.0,0.0,999.9,1
2021-03-29,132,STREET,1,03,2021,43.6,25.7,1019.1,10.0,9.7,20,36.9,62.1,30.9,0.0,999.9,0
2021-03-30,121,STREET,2,03,2021,56.8,35.1,1008.6,10.0,17.5,22.9,38.1,66.9,48.9,0.0,999.9,0
2021-03-31,109,STREET,3,03,2021,42.1,18.8,1018.3,10.0,11.7,15.9,25.1,68.0,34.0,0.0,999.9,1
2021-04-01,116,STREET,4,04,2021,33.4,12.4,1030.4,10.0,12.3,15.9,22.9,44.1,24.1,0.0,999.9,0
2021-04-02,140,STREET,5,04,2021,36.0,16.1,1033.2,10.0,5.9,14,19.0,51.1,24.1,0.0,999.9,0
2021-04-03,154,STREET,6,04,2021,51.3,23.0,1022.1,10.0,12.9,18.1,28.0,71.1,26.2,0.0,999.9,0
2021-04-04,149,STREET,7,04,2021,59.8,37.1,1019.8,10.0,4.4,13,21.0,75.9,39.9,0.0,999.9,0
2021-04-05,131,STREET,1,04,2021,67.0,46.7,1013.5,10.0,9.9,17.1,24.1,75.9,60.1,0.0,999.9,1
2021-04-06,156,STREET,2,04,2021,69.7,48.4,1010.6,10.0,9.5,14,24.1,81.0,59.0,0.0,999.9,0
2021-04-07,150,STREET,3,04,2021,70.2,51.6,1008.9,10.0,8.7,15.9,32.1,82.0,59.0,0.0,999.9,1
2021-04-08,120,STREET,4,04,2021,63.5,54.9,1002.4,9.2,7.6,15,24.1,82.0,55.0,0.03,999.9,1
2021-04-09,123,STREET,5,04,2021,54.1,46.9,1002.6,9.4,10.8,19,31.1,69.1,51.1,0.33,999.9,1
2021-04-10,136,STREET,6,04,2021,52.8,47.3,1004.1,8.6,7.4,15,22.0,62.1,46.9,0.0,999.9,1
2021-04-11,133,STREET,7,04,2021,50.1,44.3,994.1,9.3,4.7,9.9,999.9,55.9,45.0,0.26,999.9,1
2021-04-12,121,STREET,1,04,2021,54.5,43.8,1004.9,9.8,8.9,19,29.9,62.1,45.0,0.01,999.9,1
2021-04-13,113,STREET,2,04,2021,49.4,32.8,1016.7,10.0,10.1,17.1,28.0,62.1,42.1,0.0,999.9,0
2021-04-14,105,STREET,3,04,2021,44.3,26.4,1019.4,10.0,8.2,15.9,22.0,54.0,36.0,0.0,999.9,0
2021-04-15,130,STREET,4,04,2021,44.7,30.6,1017.0,10.0,9.4,14,21.0,55.9,36.0,0.0,999.9,0
2021-04-16,122,STREET,5,04,2021,46.9,35.3,1015.9,10.0,5.4,9.9,999.9,57.0,39.0,0.0,999.9,0
2021-04-17,148,STREET,6,04,2021,44.1,33.3,1014.5,10.0,6.4,11.1,999.9,57.0,35.1,0.0,999.9,0
2021-04-18,114,STREET,7,04,2021,49.2,27.3,1013.4,10.0,4.5,11.1,15.9,62.1,35.1,0.0,999.9,0
2021-04-19,111,STREET,1,04,2021,50.9,31.9,1010.1,10.0,9.4,14,21.0,62.1,39.0,0.0,999.9,1
2021-04-20,107,STREET,2,04,2021,40.2,24.0,1016.7,9.1,6.9,12,999.9,52.0,34.0,0.0,999.9,1
2021-04-21,104,STREET,3,04,2021,39.1,23.9,1018.9,9.7,7.8,22,33.0,50.0,34.0,0.0,999.9,0
2021-04-22,136,STREET,4,04,2021,41.7,25.5,1018.9,9.8,6.3,15,22.9,60.1,32.0,0.0,999.9,0
2021-04-23,129,STREET,5,04,2021,52.8,27.1,1016.7,10.0,9.9,15,22.9,62.1,32.0,0.0,999.9,0
2021-04-24,133,STREET,6,04,2021,55.4,40.9,1012.1,10.0,3.3,14,999.9,64.0,43.0,0.0,999.9,1
2021-04-25,132,STREET,7,04,2021,46.2,33.6,1016.3,9.9,10.4,18.1,20.0,64.0,39.9,0.0,999.9,1
2021-04-26,132,STREET,1,04,2021,52.8,31.7,1015.2,10.0,12.2,24.1,41.0,79.0,39.0,0.0,999.9,0
2021-04-27,174,STREET,2,04,2021,73.3,50.3,1005.9,10.0,13.2,17.1,27.0,86.0,64.9,0.0,999.9,0
2021-04-28,117,STREET,3,04,2021,52.3,43.7,1009.7,9.5,8.8,17.1,999.9,9999.9,46.4,0.0,999.9,1
2021-04-29,99,STREET,4,04,2021,53.5,45.2,1010.4,9.2,8.3,12,15.9,71.1,46.9,0.04,999.9,1
2021-04-30,150,STREET,5,04,2021,53.1,37.4,1017.5,10.0,10.4,22.9,27.0,71.1,46.9,0.04,999.9,0
2021-05-01,195,STREET,6,05,2021,55.9,34.3,1015.4,10.0,12.8,27,41.0,84.9,42.1,0.0,999.9,0
2021-05-02,191,STREET,7,05,2021,74.4,50.4,1003.5,10.0,13.6,22,29.9,84.0,63.0,0.0,999.9,0
2021-05-03,124,STREET,1,05,2021,65.4,57.0,1001.5,9.5,9.7,19,28.9,84.9,59.0,0.01,999.9,1
2021-05-04,100,STREET,2,05,2021,56.9,51.0,1007.8,9.9,8,11.1,15.0,73.0,52.0,0.06,999.9,1
2021-05-05,138,STREET,3,05,2021,51.2,37.1,1017.1,10.0,7.9,15,22.0,61.0,41.0,0.0,999.9,0
2021-05-06,111,STREET,4,05,2021,49.2,35.2,1019.5,10.0,7.2,13,999.9,61.0,41.0,0.05,999.9,1
2021-05-07,115,STREET,5,05,2021,50.2,32.4,1016.3,10.0,8,17.1,24.1,60.1,44.1,0.01,999.9,0
2021-05-08,131,STREET,6,05,2021,45.0,32.5,1019.7,9.6,6,15,999.9,60.1,37.0,0.0,999.9,0
2021-05-09,134,STREET,7,05,2021,46.1,34.8,1014.7,9.4,10.7,17.1,24.1,57.0,37.0,0.12,999.9,1
2021-05-10,128,STREET,1,05,2021,46.2,33.4,1019.6,10.0,7.8,15,15.9,57.0,39.0,0.1,999.9,0
2021-05-11,115,STREET,2,05,2021,46.3,30.2,1025.9,10.0,7.4,15.9,22.0,55.9,36.0,0.0,999.9,0
2021-05-12,104,STREET,3,05,2021,49.8,27.0,1030.7,10.0,4.8,12,17.1,62.1,36.0,0.0,999.9,0
2021-05-13,129,STREET,4,05,2021,55.4,24.1,1029.1,10.0,4,8.9,999.9,70.0,37.0,0.0,999.9,0
2021-05-14,176,STREET,5,05,2021,60.3,27.5,1025.7,10.0,5.5,11.1,999.9,71.1,41.0,0.0,999.9,0
2021-05-15,175,STREET,6,05,2021,58.6,37.9,1022.8,10.0,6.9,12,24.1,71.1,48.0,0.0,999.9,1
2021-05-16,142,STREET,7,05,2021,61.7,47.0,1021.1,10.0,3.5,8,999.9,72.0,55.0,0.01,999.9,0
2021-05-17,160,STREET,1,05,2021,63.5,48.7,1021.0,10.0,5.9,11.1,999.9,72.0,55.0,0.0,999.9,0
2021-05-18,143,STREET,2,05,2021,65.2,54.6,1022.1,10.0,8.8,18.1,24.1,75.9,55.9,0.0,999.9,1
2021-05-19,142,STREET,3,05,2021,68.7,61.2,1021.1,9.6,9.5,15.9,26.0,75.9,57.9,0.07,999.9,1
2021-05-20,149,STREET,4,05,2021,74.1,60.4,1022.6,10.0,9.2,17.1,25.1,86.0,66.0,0.04,999.9,1
2021-05-21,158,STREET,5,05,2021,77.3,58.3,1024.7,10.0,8.9,15,25.1,86.0,66.0,0.0,999.9,0
2021-05-22,170,STREET,6,05,2021,77.6,61.0,1026.1,10.0,5.1,11.1,19.0,88.0,69.1,0.0,999.9,0
2021-05-23,178,STREET,7,05,2021,75.3,63.6,1022.0,9.9,6.9,11.1,14.0,84.9,60.1,0.0,999.9,1
2021-05-24,163,STREET,1,05,2021,68.5,56.5,1019.4,7.3,6.1,12,20.0,89.1,55.4,0.02,999.9,1
2021-05-25,164,STREET,2,05,2021,79.0,58.1,1015.1,10.0,10.4,21,32.1,86.0,73.0,0.0,999.9,1
2021-05-26,172,STREET,3,05,2021,72.8,58.8,1014.2,9.0,10.7,21,26.0,84.9,64.9,0.77,999.9,1
2021-05-27,128,STREET,4,05,2021,57.3,45.3,1019.3,9.9,13.3,20,28.9,82.0,50.0,0.74,999.9,1
2021-05-28,113,STREET,5,05,2021,48.2,42.8,1014.7,8.4,18.4,27,35.0,59.0,44.1,0.24,999.9,1
2021-05-29,157,STREET,6,05,2021,51.4,31.4,1021.9,9.8,13.1,18.1,28.9,60.1,44.1,0.29,999.9,1
2021-05-30,161,STREET,7,05,2021,55.7,32.7,1024.8,10.0,4.8,11.1,999.9,69.1,42.1,0.0,999.9,0
2021-05-31,154,STREET,1,05,2021,62.7,40.5,1023.9,10.0,6,13,17.1,70.0,42.1,0.0,999.9,0
2021-06-01,155,STREET,2,06,2021,63.2,46.1,1022.6,9.7,3.9,11.1,999.9,77.0,50.0,0.0,999.9,0
2021-06-02,156,STREET,3,06,2021,67.3,47.5,1017.0,10.0,5.2,9.9,14.0,78.1,50.0,0.0,999.9,0
2021-06-03,169,STREET,4,06,2021,70.7,48.9,1011.9,9.9,4.4,8.9,999.9,87.1,55.9,0.0,999.9,0
2021-06-04,155,STREET,5,06,2021,79.8,50.4,1011.8,10.0,8.6,15.9,25.1,90.0,71.1,0.0,999.9,1
2021-06-05,162,STREET,6,06,2021,80.6,54.8,1011.8,10.0,10.7,17.1,22.9,91.9,69.1,0.0,999.9,0
2021-06-06,190,STREET,7,06,2021,81.5,59.2,1012.0,10.0,10.2,15.9,28.9,91.9,69.1,0.0,999.9,0
2021-06-07,162,STREET,1,06,2021,77.5,67.5,1012.4,9.9,7.3,9.9,15.9,89.1,72.0,0.0,999.9,1
2021-06-08,157,STREET,2,06,2021,77.5,67.8,1014.7,9.8,3.5,8,999.9,91.0,71.1,0.0,999.9,1
2021-06-09,166,STREET,3,06,2021,79.9,66.7,1015.7,10.0,4.4,9.9,17.1,91.0,71.1,0.01,999.9,0
2021-06-10,163,STREET,4,06,2021,77.3,65.0,1014.0,10.0,5.1,9.9,999.9,90.0,66.0,0.0,999.9,0
2021-06-11,150,STREET,5,06,2021,81.2,66.3,1010.0,10.0,4,8.9,999.9,91.9,66.0,0.0,999.9,0
2021-06-12,149,STREET,6,06,2021,79.9,67.8,1009.7,9.3,4.8,20,35.0,93.0,68.0,0.0,999.9,1
2021-06-13,192,STREET,7,06,2021,77.9,58.8,1013.3,10.0,6.1,8.9,14.0,93.0,66.0,1.5,999.9,0
2021-06-14,161,STREET,1,06,2021,75.3,52.8,1012.8,10.0,10.4,19,24.1,87.1,64.9,0.0,999.9,0
2021-06-15,155,STREET,2,06,2021,70.5,52.7,1017.7,10.0,7.1,14,20.0,82.9,62.1,0.0,999.9,0
2021-06-16,146,STREET,3,06,2021,67.1,44.9,1019.3,10.0,7.5,15,15.9,77.0,55.9,0.0,999.9,0
2021-06-17,158,STREET,4,06,2021,71.5,46.0,1015.3,10.0,5.7,15,21.0,88.0,55.9,0.0,999.9,1
2021-06-18,173,STREET,5,06,2021,80.9,62.5,1008.3,10.0,8.7,28.9,40.0,90.0,57.9,0.24,999.9,1
2021-06-19,208,STREET,6,06,2021,79.5,62.2,1007.4,10.0,7.8,18.1,26.0,90.0,66.9,0.01,999.9,0
2021-06-20,179,STREET,7,06,2021,72.3,63.0,1005.9,9.8,5.7,12,999.9,90.0,62.1,0.0,999.9,1
2021-06-21,138,STREET,1,06,2021,69.8,57.8,1003.9,9.4,10.7,26,34.0,82.0,62.1,1.85,999.9,1
2021-06-22,184,STREET,2,06,2021,62.9,44.8,1014.0,10.0,7.7,15.9,22.9,73.0,54.0,0.0,999.9,0
2021-06-23,142,STREET,3,06,2021,68.9,52.0,1015.4,10.0,10.1,19,29.9,79.0,54.0,0.0,999.9,1
2021-06-24,154,STREET,4,06,2021,71.9,57.8,1014.5,9.0,11,17.1,27.0,79.0,64.9,0.02,999.9,1
2021-06-25,141,STREET,5,06,2021,72.0,69.1,1011.9,7.9,9.2,15.9,26.0,75.9,68.0,1.49,999.9,1
2021-06-26,132,STREET,6,06,2021,75.0,70.5,1009.0,9.2,7.6,14,22.0,82.0,70.0,0.45,999.9,1
2021-06-27,187,STREET,7,06,2021,76.5,69.2,1010.4,10.0,11.5,17.1,28.9,82.9,70.0,0.46,999.9,1
2021-06-28,167,STREET,1,06,2021,71.9,65.2,1018.3,9.9,5.6,12,999.9,82.9,66.0,0.0,999.9,1
2021-06-29,147,STREET,2,06,2021,76.2,71.0,1019.7,9.5,5.9,11.1,17.1,84.0,66.0,0.17,999.9,1
2021-06-30,141,STREET,3,06,2021,76.8,68.7,1018.3,9.7,4.9,15,22.9,84.0,71.1,0.29,999.9,1
